mbr+ spr+ brc
617 57331 3
4694 180308 4
219 293811 6
6842 149418 11
5573 308395 1
8786 1375 9
4706 352434 1
2716 28618 5
7681 199116 7
8475 328448 7
9626 80671 6
3557 185863 10
7585 241449 11
4720 160695 1
6857 26655 1
4357 281130 9
9107 47923 10
4684 408625 4
2517 460065 9
7707 412267 8
4538 313875 7
7401 138064 1
8636 76827 7
1082 450505 3
4064 460592 3
1012 272753 1
1651 364929 8
8740 39910 1
5613 300580 5
4323 301454 2
1614 250208 3
4189 228782 2
6900 360941 5
6505 472862 8
1741 123358 6
6466 468147 2
9705 267203 10
7892 458076 4
3725 468808 2
4395 216694 9
9341 178741 4
4468 131564 5
1588 231879 9
350 365168 6
5418 336103 8
3182 268568 6
6538 471558 4
4586 276465 11
4811 156488 2
8200 437377 6
4829 220845 9
8312 63865 8
9864 136695 10
3763 350694 5
4698 170379 2
9216 154368 10
1466 470843 8
2446 360867 4
7536 142666 10
7401 296529 11
9291 244231 8
9026 193824 1
7682 293241 1
336 184477 7
7564 236429 2
7109 80917 6
8837 410898 9
5395 268400 6
3215 258846 5
6243 232092 3
985 344255 3
2898 299415 9
7438 243940 9
7208 303525 10
6086 219764 8
2391 283691 8
1311 308179 6
7001 227363 4
4912 101260 10
6698 380480 10
8891 97480 1
5125 66132 9
9509 246223 3
752 6634 4
2198 429859 8
7010 224256 4
351 495520 7
6035 186071 7
356 78160 7
1533 441834 3
9015 413633 1
3227 381861 7
1060 24214 2
4421 408636 7
4553 164362 8
5902 81300 6
2086 208307 10
6186 173164 4
9637 285154 8
837 315055 8
8097 373500 11
2004 445182 7
4159 32553 3
8074 86125 11
1169 263068 3
4488 310045 11
2631 186956 5
8273 378355 11
1880 138573 5
4198 276077 2
1194 3758 5
9162 134952 3
2868 255161 7
9840 113378 6
3995 282551 9
4518 246903 1
3991 292130 10
7225 102858 3
9216 206079 2
8399 108897 11
1574 4201 10
2472 481834 10
7240 229720 11
2929 264664 7
7785 118662 4
3485 440994 2
1981 16773 1
314 313366 2
5186 453989 2
1751 231557 2
9707 167375 7
763 1916 8
2 131379 4
5734 336135 3
6440 101489 5
4028 288396 1
4747 284803 10
2516 69037 4
1958 348785 4
6023 416345 9
7717 82710 11
3365 372151 11
5729 493550 9
2318 229563 6
8393 371594 10
1266 343908 9
6585 309621 10
6123 278230 6
102 497250 6
6942 244239 3
9389 279529 7
6519 37385 10
9674 239645 10
4001 434384 3
2921 410537 11
7452 313671 4
7881 38356 10
7371 475869 4
3018 213415 4
716 184812 10
6407 455427 11
8278 15756 2
4461 57743 5
2268 350468 5
7157 8287 8
2415 86048 5
4165 359499 11
6757 384072 1
3308 466597 3
8364 378002 8
5092 70719 7
3144 31597 7
8184 36214 8
4763 339865 8
4330 180770 3
8167 56785 1
5728 463035 9
6905 223616 1
241 67493 1
2301 320087 10
8361 286152 10
935 320693 9
7438 389728 10
113 46745 9
4229 479573 3
7332 35828 7
7283 444178 2
4881 144412 2
388 456930 6
7634 153153 7
3313 15481 8
8000 192025 4
694 430909 3
3348 325859 9
6189 314084 2
3681 211620 3
44 422951 8
7864 318571 8
9631 153643 2
2301 449062 11
6205 7541 10
8914 378411 6
1359 285821 6
1477 285796 5
7142 35876 6
5124 400912 1
9674 450678 2
6868 75342 11
4073 475322 9
7890 79534 9
5833 424899 10
3578 322926 9
4879 336237 6
3382 137226 1
5690 288444 8
835 87869 3
4104 156198 11
6595 493961 4
6467 316511 6
3441 330099 2
59 87608 9
7178 105197 8
964 13565 10
3400 132440 1
3845 197195 10
3962 212954 9
5402 56021 8
3194 457008 4
2769 50889 1
5045 363641 4
3891 320347 2
7121 238085 6
8944 370609 8
6804 384785 6
3186 192493 2
6052 197562 7
6091 73251 4
1040 469906 5
7776 251092 3
1625 493781 11
3180 460162 5
8419 388881 1
3290 59121 2
8270 160802 2
9494 13899 6
4930 324308 10
5997 486049 3
5333 220659 9
5748 451596 7
8746 362775 2
8878 373731 4
2799 91085 10
2334 8917 4
1524 314701 9
8404 57940 10
6176 375663 5
1578 160776 3
526 218343 3
1564 450267 7
9516 90161 9
2973 299078 6
939 354151 10
3495 492633 11
3464 226244 11
4035 202321 10
4526 203546 9
6973 49951 6
3804 488225 7
6638 207385 9
5652 158650 11
3527 182608 10
596 69769 4
8206 96705 11
6663 115714 7
4894 177603 4
9643 463858 8
4493 124381 7
7519 300246 5
9583 240664 4
1153 205443 11
7055 323337 10
2348 421235 7
7666 331563 9
1530 479287 6
7548 179112 5
313 361008 9
1946 419094 8
2790 97556 6
5254 89740 2
4406 398011 2
2386 330110 3
9390 93020 5
552 409307 10
95 267249 6
4371 67798 5
3082 496774 6
1801 5755 6
2311 192095 10
7000 331499 2
8259 120370 10
3286 320634 4
6686 75809 3
7402 248860 9
8100 455193 8
4072 356904 6
9963 140366 10
216 123202 8
2979 62006 5
6980 463991 5
3871 456063 5
3515 323361 5
4439 28459 5
6683 183246 10
1591 372107 3
616 274752 8
487 87858 9
3810 419212 5
599 427658 7
4865 101767 1
8198 491644 7
3568 406302 11
5188 172833 9
8655 167941 2
4036 18295 5
7970 203810 8
9469 232338 1
5899 234062 3
9590 453476 10
5734 409734 1
7919 358022 7
4337 257113 9
1774 11302 10
1442 383382 8
4132 154192 7
4034 464251 4
1040 211906 3
385 304435 2
9738 429384 3
7715 21418 9
6267 264376 2
5729 18154 3
2663 78385 11
9202 110408 10
8775 176652 3
5437 105125 3
5535 163451 10
8552 256341 5
4091 171477 7
2914 426147 8
1924 29110 6
8635 103820 7
6547 269725 6
3769 43510 5
101 67261 9
2715 421563 6
9482 84099 4
69 368477 11
6137 140018 5
2725 164032 5
2955 311073 1
8560 281647 1
1127 412880 2
3891 174911 10
925 343315 8
424 277566 7
8120 221525 10
4317 417791 1
9815 50263 3
340 253301 11
5500 139773 9
3400 144695 11
8428 173380 10
7239 464164 8
6068 141793 11
1411 13321 9
8245 433160 11
9394 323913 6
1484 197445 1
1793 200957 6
3850 424856 8
4591 328724 3
8882 343317 1
1376 22840 5
4307 467957 11
2805 80808 3
9166 300940 3
9214 44948 6
1110 197955 8
1045 151204 3
5526 211020 2
8712 255991 8
4123 74953 1
7572 150527 1
2927 27884 5
6481 210237 7
1763 67590 5
7954 14772 9
926 134822 4
7891 275395 9
5834 209390 9
2352 224968 11
5426 182724 8
2273 172021 2
9869 345953 7
7805 157982 9
6709 23026 9
320 411082 3
7665 172889 11
1797 83001 3
6165 285977 8
3521 373184 1
8137 177159 7
965 62436 1
8202 354571 10
4935 111360 10
6282 490357 6
1853 58339 6
8698 273368 5
3189 223485 7
2629 379185 7
7818 326002 4
4921 468577 7
3963 282836 4
2042 317898 9
5858 247593 4
8716 76745 3
9909 414956 1
3021 434992 8
590 112662 5
2240 219269 9
6215 172594 5
59 286566 5
3984 8662 1
5128 128054 6
4602 467454 5
2634 163766 8
4088 496192 5
3230 71874 6
1212 6786 4
7290 272247 7
4345 368523 9
5613 376816 2
7926 388466 3
8296 47671 3
1053 103265 8
8315 47875 11
4687 34169 4
3255 278158 8
8299 310794 10
9318 107799 11
734 390414 7
7763 240486 2
9473 493248 6
3118 415432 4
8605 76345 7
4786 312168 3
5514 463702 11
6095 166339 2
1334 452394 7
645 430049 6
6845 290140 6
2318 221346 1
4923 342861 2
6239 65243 11
5845 310675 3
9769 70559 8
7715 201159 2
1278 485101 4
5362 335279 6
9139 113207 1
5073 421687 8
2147 467756 4
756 97399 6
7660 66301 6
5636 137263 3
5172 163079 2
6903 403816 3
794 438097 10
8412 213149 11
3563 30869 1
6467 357507 7
6517 437811 2
964 360550 2
5925 210267 6
577 121625 11
5130 474861 4
2910 467081 1
6151 6392 10
8719 9871 11
498 271206 9
8833 377312 3
1545 381195 1
3343 384225 1
2789 334059 5
9706 381710 2
4055 34157 5
1802 304887 11
7716 378811 5
453 49476 10
8477 431336 1
1970 127232 4
9563 23654 1
9697 23841 6
2704 384050 6
229 443533 3
1896 103967 9
6710 234477 9
260 297059 5
9462 467711 11
9119 237120 9
4528 216331 2
460 4181 7
3170 445638 9
334 379199 2
8733 132706 2
6237 129170 10
1904 162724 1
5236 487729 10
9913 323276 8
2340 364376 8
7439 284137 9
73 278630 6
3818 95380 11
4325 375016 2
75 20300 4
9608 400228 10
8773 90855 9
3762 461524 4
350 63883 9
8695 167886 8
6604 208786 4
1729 287634 6
2645 274092 2
2731 303661 9
3070 162153 6
1520 400199 1
354 67114 6
5112 291343 8
1806 204044 6
4003 171065 2
9303 21279 1
2651 239696 2
1972 56345 8
729 75430 1
4739 206489 10
6911 218962 10
2538 249660 4
9679 329536 8
6375 40270 6
1302 190988 1
3976 97061 5
1919 472020 8
8207 122715 1
6889 492570 1
2865 163469 11
9409 28826 8
6895 259477 3
6253 338793 10
3143 455263 11
4535 201210 5
5079 115398 8
266 71336 5
4626 238356 4
3753 294267 5
490 164655 2
7152 65958 2
3303 64902 6
6706 191408 9
3514 401645 5
6992 229695 3
9904 489565 9
1873 461192 5
1806 224933 8
1499 26898 9
206 210713 8
2498 117747 4
5934 319528 5
6904 119201 4
8500 175863 6
401 133744 8
7121 344532 1
9235 39759 1
9531 279010 11
8787 420913 1
8610 128216 10
5606 349860 1
8748 311433 1
359 230578 11
3381 46031 11
9751 282573 9
2728 396358 8
4067 322660 11
603 481405 10
76 286302 8
5317 111292 3
5439 218018 11
3654 121590 2
9134 467552 6
4717 106529 4
4551 19069 11
9097 147437 2
3269 372173 10
6787 154964 3
7367 90086 3
5300 361326 9
5129 239218 10
5284 418247 4
9271 370891 2
6447 492362 2
3721 31579 2
5156 38447 8
2875 312531 10
3488 222842 8
4050 392096 7
1860 241696 4
3731 131542 1
7763 358159 4
3761 240521 1
3850 231956 8
6042 132274 10
7565 170 11
7882 90649 10
9063 318321 4
7494 199306 11
7109 448387 3
9549 328476 7
9241 309334 5
7825 190130 4
6175 190173 6
1512 68024 2
2251 52709 8
4634 111010 8
8243 104579 7
9691 248726 11
3292 273526 3
7547 427317 11
8752 403767 11
5983 426169 10
9179 375301 8
2960 415418 6
6106 114752 5
8812 129469 2
9171 14026 7
4878 348997 4
7492 447704 4
8252 191871 1
3411 299170 9
8181 68904 1
4472 466222 10
7214 379021 11
8027 419263 7
6690 475414 11
68 493260 1
2645 101984 5
1981 16371 6
7115 251233 3
5933 161426 4
8597 388228 1
3591 236120 6
1097 238689 8
3765 89487 11
7316 449191 5
3912 382920 2
7983 101406 6
9240 256746 11
7465 388978 10
3312 122012 3
6086 103985 4
3990 428904 8
4060 430711 1
9448 221847 5
8701 342111 1
5451 4050 5
992 339887 6
6863 139803 5
1705 186440 7
7779 452664 1
7403 9307 10
5496 17387 11
9480 414639 3
4788 291582 2
2570 143892 2
8313 176005 5
617 291355 7
6881 176282 11
6258 7239 5
7708 426344 8
4135 465812 1
213 108554 4
3880 415818 3
6796 252534 10
2720 143060 5
3938 442113 1
1390 396609 8
7706 241569 5
1332 324979 5
8717 482891 9
2919 79005 11
5863 428573 6
1883 198026 11
9557 171618 6
9949 193063 4
3045 432131 3
5803 13378 2
1343 91649 6
2882 181004 10
4028 156376 6
1630 265492 11
8147 428557 10
5179 317835 6
3947 381924 6
5512 210018 11
1507 466409 6
2058 34484 4
5043 99224 9
1972 195159 4
8809 484740 5
3145 295570 6
9531 32846 11
9904 112134 6
7412 380588 10
5397 1732 6
985 34145 1
1542 155620 11
8170 361319 3
9834 330505 10
7654 306582 3
7382 127335 4
8922 456418 5
4106 406007 6
2426 466116 5
9462 32161 6
9621 163861 10
5106 205229 3
3198 430178 6
5588 310257 2
2372 83536 9
784 383534 11
3540 414608 7
2361 86558 4
1503 441250 4
4666 108018 3
6866 64877 4
6749 274868 8
7597 68201 6
8223 179943 8
2258 438036 5
4619 392935 11
6322 1546 3
366 104258 4
1150 451258 1
3263 57106 3
5320 88543 6
1426 180740 2
7117 373392 11
8796 37035 3
3834 305657 4
8511 364327 9
349 69070 2
7312 215073 6
6600 201890 6
2229 450820 10
9828 420153 3
904 258802 6
7224 356005 4
5945 72705 8
9570 480193 7
4856 386537 9
7981 305124 6
4478 12425 6
8928 114297 4
9761 255535 8
2462 274554 11
931 320483 9
7692 413411 8
7237 80669 11
9417 318321 2
7789 195591 1
3405 426349 10
3935 224859 9
1822 23591 2
2064 377097 4
5810 373284 10
3095 490420 4
8317 127137 9
8511 65294 1
6649 206129 2
6959 158572 2
1850 195932 2
3581 155671 6
190 302778 1
3467 242361 10
2539 14154 9
3400 58981 5
6043 166760 4
9419 48933 3
7040 226337 3
4500 318242 2
1078 219416 6
8809 336307 7
10 229390 7
3308 362310 4
8642 470420 3
5163 469487 7
9979 281692 3
3565 461116 3
5 7928 10
8008 312532 1
5159 92282 11
5440 299080 8
5955 425355 9
1264 176918 5
6971 448345 8
4117 448985 8
7779 480024 7
6839 115112 6
6345 98861 4
1487 139214 9
5473 58186 1
84 190053 8
6600 377639 1
6743 127894 2
6301 286782 8
1995 33943 7
8739 124196 8
6936 403069 4
4046 184341 2
8394 86817 6
1843 419238 3
4036 1638 4
2313 96825 3
8869 204452 6
9666 385755 5
8690 14616 11
456 455027 4
9186 428575 3
2531 477031 7
3074 111446 7
8908 475842 4
3324 121925 5
5093 411861 10
533 139700 3
4443 89572 8
6047 380610 11
8238 15719 3
229 358692 7
4274 65690 1
4242 334073 9
577 198659 3
4248 448401 6
3992 106072 8
4908 467528 7
4835 310591 3
1344 241642 3
9388 292346 6
8839 326463 8
4869 150630 5
2892 182836 8
5391 150604 6
6884 193927 8
9923 196312 2
5947 312198 10
1351 309027 5
1880 397147 6
8162 298976 5
9626 189223 11
461 235733 5
6911 164961 1
8401 67016 7
3482 44500 1
368 299536 6
3067 423885 7
518 372679 1
5452 439162 11
6960 388335 4
4634 138960 9
655 43719 4
3543 425866 6
4196 135897 9
3168 64349 11
9977 363750 3
5856 185696 5
7018 98742 7
3873 234612 6
9469 74989 4
4748 89471 4
351 444529 11
5101 143522 4
1560 249537 11
6414 341333 6
919 342677 1
1089 62239 9
4106 183037 1
7767 251001 6
7050 163929 5
2024 27464 1
3845 110275 5
981 344870 8
5729 442753 11
6543 309667 4
4216 487548 5
5711 73350 4
2546 496496 6
7836 230872 2
5706 380606 2
166 307627 1
3518 157655 9
7303 413601 6
8081 294041 6
3768 71165 6
1567 187037 8
3172 449192 10
9901 69091 6
3921 442351 5
3070 67048 3
6744 288703 5
4660 116192 2
8837 444851 1
7166 406734 11
1684 99823 5
1295 438378 1
2130 123667 11
3482 286802 3
6351 208134 3
6374 80532 5
6469 300451 7
806 466878 3
1911 424538 11
1548 181163 11
9811 134372 3
7206 241965 9
906 128545 11
5622 88306 1
7898 49696 1
5086 173582 6
4109 134721 9
7580 65850 8
4394 339418 5
6617 24120 11
1898 429558 1
1550 45199 4
4263 13996 2
7118 57418 8
520 63306 1
2717 412192 6
1316 437908 6
5121 139772 6
6639 196874 2
4244 155892 4
5030 185899 11
7963 72767 4
7923 273473 11
5911 497034 3
266 479705 2
7183 138353 2
4981 388364 8
820 430587 5
7574 23454 6
2918 187259 1
712 431669 10
9091 336154 9
4810 143925 11
4381 426480 5
4837 434441 1
7169 130834 1
8125 483401 2
5269 123511 11
7320 284828 5
5740 170176 2
6657 240016 9
8572 447976 8
7315 295067 1
8978 164308 11
1164 485333 10
864 32321 2
1899 299446 5
1354 336691 11
7539 125590 9
2749 73053 11
8885 106135 9
4407 109532 5
6128 74059 5
3131 256320 5
5770 203473 7
5331 118756 7
3130 318264 8
2893 52963 4
1138 452913 3
6460 296821 9
1057 290667 8
3312 191728 8
1465 169262 5
9646 20840 1
8988 180289 11
9313 472784 5
3493 480598 10
1123 408188 2
7856 24757 1
9999 293399 11
543 144207 7
1437 486098 5
2409 233868 1
7194 415751 8
2408 333583 8
8848 258271 11
7685 88330 5
6130 59164 2
5454 276418 6
5715 405882 9
2854 426983 1
5853 433409 5
8725 25343 4
2026 45379 3
296 125789 9
6890 149073 1
1342 224698 7
7563 272644 3
1191 21951 5
2437 148173 6
8190 126395 7
4331 43553 10
9403 149678 6
2159 371503 10
5211 77610 3
2682 488847 5
8304 138667 7
8119 178046 7
5939 449632 2
5788 19135 5
6647 112700 7
2061 371429 10
6793 320831 4
1570 193557 6
9120 84337 8
6837 449492 5
7496 470639 2
5319 143832 2
6667 338353 10
4172 419231 8
5613 324431 1
2620 197428 6
105 183099 7
5430 481689 6
4025 259596 5
9553 396466 8
5163 138597 4
9956 431916 5
8911 195153 6
6661 105541 2
1008 19049 8
5233 423180 4
8242 182507 7
9010 222484 2
4831 42598 1
8426 80219 8
8718 435570 8
3718 96278 10
9019 271081 6
4655 75828 8
935 70922 8
6062 420721 2
4918 335701 10
2863 406083 3
2312 493291 11
1434 48256 2
5137 459392 1
4679 81286 1
4245 10240 10
3404 78447 1
6008 118311 10
9744 17341 6
7125 460240 5
8010 360836 5
9311 41270 4
7360 74110 3
3484 92057 7
8598 3614 2
4759 287209 2
7598 22515 7
4295 188086 2
2406 402241 1
488 232254 1
3085 396495 4
5119 173441 1
2783 29345 11
807 383277 11
5831 82497 9
8458 175159 10
6654 190292 9
4991 144766 2
6626 275162 4
9173 26781 5
8845 312762 9
1544 486571 8
7983 146835 2
497 232935 1
6534 130460 1
9093 449792 11
6384 420104 7
4302 296833 1
1097 225415 11
9298 120330 9
3060 90294 5
1882 232106 2
3739 201964 11
8029 2557 5
5423 145279 8
280 92687 8
340 280593 11
3973 52595 4
9854 265600 11
118 230276 6
9271 396243 8
2819 439669 10
3316 340098 7
9904 462064 9
6058 332921 4
1105 153457 9
8497 410725 9
2128 243709 1
2147 292851 3
9970 165642 10
7643 196353 6
2909 49286 3
9383 96529 7
8362 233350 1
815 22631 5
7799 151755 5
52 295440 5
8653 209841 8
3642 330924 7
2954 351915 7
9582 187298 6
89 323926 5
9714 205435 9
7019 430801 2
1158 392888 5
5305 236103 1
8543 156649 6
218 149817 9
9272 425354 4
7876 397440 9
2342 434497 8
3116 265865 3
7967 177406 6
1967 84639 7
1955 270607 4
3820 410845 5
5952 470693 3
3745 160128 9
6353 321023 11
1787 173777 7
7515 223847 9
6933 52470 1
1410 465800 11
6878 253843 2
2519 190242 7
2428 270967 10
6310 74381 11
9153 491546 6
3957 239788 9
803 477569 4
9304 479042 4
1950 421854 7
6220 165951 10
4313 106423 7
1606 276949 8
8719 24127 4
8560 491393 11
3557 180028 3
7874 155983 3
3169 194281 3
8782 259909 5
4200 482739 6
1296 99687 2
8571 21591 6
7136 434737 7
9892 432488 1
7163 191371 11
4229 154580 4
5321 360548 1
2513 28670 6
307 248661 9
8940 172430 7
20 344286 9
4686 328570 10
3208 386518 1
8650 179519 4
6709 298189 11
7201 91207 3
3344 297720 5
4878 322023 5
1007 8413 1
9228 357405 10
5993 401449 1
171 50092 6
2169 250499 1
5837 8035 10
9846 281744 3
2960 441847 5
6442 117387 2
2314 255818 8
2337 176846 8
1882 133481 6
268 157588 2
9533 352387 4
7653 144173 9
7450 311486 7
5256 157997 3
8133 127884 2
9977 15119 9
6319 38055 11
9172 233034 7
3968 47626 2
1747 55549 11
2791 352176 9
2057 440749 11
5013 285501 6
5889 85651 4
7845 387543 5
1264 303156 8
3090 166893 3
4912 230946 5
236 194293 10
9190 63997 8
6046 387226 1
5949 445023 9
1281 287353 4
9663 60921 10
3384 147466 3
3769 26366 6
6280 158298 7
6963 452591 3
9043 221919 2
3722 191640 7
133 117245 6
32 140893 8
8738 55678 5
9614 83982 9
4583 304322 4
5890 313218 2
941 149589 7
9429 30007 7
2719 307618 4
8970 494982 3
2683 101819 5
8213 377137 1
2977 156313 3
1835 64413 11
4489 479275 5
9442 424854 3
6737 118577 8
9801 403990 1
6834 315057 8
5136 456370 11
776 182079 4
9938 485101 4
4144 365544 1
8040 449915 5
6835 248154 5
4179 246542 2
99 287996 3
9300 289231 10
605 224071 6
2135 436554 5
5184 432769 9
1665 218703 1
9731 337144 3
3276 446027 5
3950 192803 4
4166 443748 9
5131 108775 8
5771 103059 5
8860 217871 1
1528 199517 1
2001 308279 10
9881 60810 1
9237 181448 10
4205 106185 5
5856 499558 10
1508 458115 9
4143 4812 11
1529 292634 5
7817 451888 8
8735 1194 8
9510 327816 4
7645 291026 11
47 110120 7
4319 407819 10
4065 104845 1
3127 124046 1
8197 176488 9
9459 388165 3
8703 42105 8
722 61404 8
8896 329415 9
3657 301112 3
9570 281673 6
85 199707 5
4163 471282 1
2688 225187 8
8036 463492 5
176 331598 5
1140 64396 11
9825 415375 9
6360 209334 4
4844 1438 1
1346 187869 3
1276 492691 8
5722 185664 4
6364 22819 1
1609 161590 4
5142 483446 11
3327 144591 4
5026 75703 11
4072 330963 9
1015 282232 7
6902 319048 5
4131 182960 5
9008 168228 2
7794 32125 7
195 292611 10
4784 363389 4
4926 346670 8
277 443812 8
8259 206492 11
9399 89652 2
5046 393156 7
499 332712 2
3603 465758 6
6825 411242 8
751 287338 10
9215 479934 1
3750 441166 10
1590 301488 11
2837 144357 10
190 186446 2
560 489001 2
8261 153856 1
477 81827 1
2514 422695 11
912 420263 2
966 265903 11
490 18277 10
4203 410517 9
4959 294266 11
8229 100498 11
3018 96864 6
2764 248342 8
7640 391719 4
1607 36927 6
2506 327609 5
392 190739 3
1310 382681 1
7772 144087 2
5649 88323 4
118 414546 2
6836 206718 5
5179 286552 4
8507 479702 6
1678 461523 3
299 346052 6
8450 412970 6
8692 468962 3
5260 85595 5
6433 282541 8
500 483043 6
6347 306087 10
9757 137598 2
3201 188046 11
7251 294883 10
5552 52842 3
588 427500 7
3794 41125 1
5758 244488 7
6365 222150 6
8022 80985 9
3045 75275 3
8479 140072 3
9208 114703 9
8801 404179 10
5966 2003 11
5862 206258 2
3679 272021 8
5449 84679 11
8470 217018 5
7599 84859 3
5645 34916 11
4490 322073 5
459 109422 6
9109 28829 11
2311 491294 3
3277 172394 11
4266 197214 5
5879 51372 3
2485 198709 5
4409 78830 9
7760 488144 10
5636 40141 3
3359 159350 7
9101 412553 7
2292 459595 4
329 364108 10
5743 346680 3
2107 456621 5
7699 187467 5
5915 173345 1
8108 204112 7
5063 402057 4
4720 38623 7
2491 122831 3
979 414392 7
8523 159703 5
7558 15240 4
3402 42738 3
4682 96352 11
7672 137323 4
4739 11200 7
3779 365150 5
2999 358213 2
4789 72887 8
9422 189707 7
6147 369631 1
3403 6060 1
3874 23916 10
5240 246263 1
8368 483325 8
4752 421017 6
6125 63810 2
299 401957 4
5796 381614 7
7382 263779 6
909 239681 8
6179 240463 6
7704 54696 4
1731 174755 5
2624 346925 11
6490 415895 7
5936 167190 5
6854 457386 4
5473 367660 2
4587 346665 6
9475 221915 2
3818 45961 6
4062 11641 4
8093 106957 7
7783 444441 9
5001 99061 6
6665 493198 1
9771 369932 9
3150 267285 4
5860 333947 5
731 432586 3
7696 154709 9
2809 368806 5
1651 322723 9
3683 44997 9
775 248014 11
7599 212267 9
3847 407038 2
8027 55320 4
5490 448331 1
2257 23840 10
6944 122818 4
8696 323852 4
5963 461198 9
4535 444242 6
4968 454525 1
6005 150508 9
8157 185843 6
8604 47655 7
9108 121674 11
4413 38122 2
4351 54152 7
2907 336382 4
6438 178324 3
8291 69441 10
2287 455605 5
9731 288290 2
9247 50846 11
5380 124905 1
2283 322891 1
112 295282 5
345 405904 6
2414 321198 5
348 425873 6
8596 124739 10
8580 320035 10
1481 57626 10
38 332502 6
1152 103657 11
5545 132496 3
4195 324764 3
2126 128064 4
2111 48000 3
740 296681 1
5949 325236 6
9317 153325 1
240 53239 4
7762 90675 8
6684 182271 8
329 142190 3
6629 13111 6
8270 410032 6
7515 236389 7
5834 82876 2
9137 275224 6
4147 344618 5
5476 244769 5
7259 177716 1
1238 49262 9
4344 64994 5
6331 375086 4
4782 10621 1
6070 360329 1
586 209796 10
2544 161716 7
8168 403724 2
7740 305702 4
9126 147266 1
3592 369570 11
1707 225204 4
2586 198865 7
9843 483145 3
5957 32038 3
2994 170710 6
652 206894 1
2264 174694 7
3690 222830 3
171 420606 10
7610 133285 9
3731 364465 9
6349 11365 6
9982 404366 10
9448 176909 11
2072 434681 8
9911 87064 8
1771 458718 10
408 135492 11
1766 479277 4
6201 100393 11
6198 85731 2
820 66466 10
8958 464684 1
2702 94590 1
9753 86294 8
1616 271919 2
653 168990 4
8784 351381 5
9654 207754 7
6430 422098 2
8220 35561 11
552 202551 8
233 105676 3
4895 238293 5
448 94446 8
246 31036 7
3100 218009 5
817 336195 2
7073 162711 6
1305 26117 2
3699 246008 11
5029 421148 8
484 30732 11
6003 342862 6
7622 189187 10
6480 327947 1
4133 137326 4
6827 130812 10
6407 71556 9
57 441153 11
4285 69816 3
1032 266971 9
2636 236085 4
9172 104006 7
6960 303604 3
5828 250417 7
8471 129787 6
8335 38784 4
9771 218612 11
508 211395 10
3833 351253 1
2738 306003 6
8019 257182 4
7272 95807 11
245 146113 8
2632 107709 5
5727 485872 6
1732 287007 5
3425 451785 10
7389 217480 9
236 93606 6
7124 39055 10
2998 204015 2
5789 180704 4
4099 441105 7
2000 264034 1
8051 21985 4
3826 165330 8
1655 315809 8
6105 35038 11
9080 343460 4
6438 428738 9
5645 448778 10
2893 308592 1
1777 446261 8
5392 159658 11
6939 266284 6
3249 108010 2
5298 393431 5
4673 413827 7
9786 73632 7
790 425002 9
5390 51109 10
9977 429179 9
4490 429914 6
7364 91407 3
9367 478345 11
387 6486 6
399 463389 8
117 28455 8
4416 393233 8
5506 339020 8
6607 154154 2
2599 287853 3
2569 478571 6
7895 297401 7
5152 132510 2
1758 283748 8
2791 107753 4
4837 387810 2
9161 418150 6
520 46290 3
1026 343548 1
2517 175163 8
3143 471079 9
2085 293998 7
6846 73351 9
1345 97253 11
2048 77678 4
1287 340611 1
9904 349709 2
3987 321915 7
6453 322514 5
8107 188436 4
8835 343258 11
1345 13900 8
4146 329714 2
536 6558 10
1138 207196 3
7009 129951 6
7194 225994 1
4351 190503 2
3724 89194 7
4933 1626 9
3965 176933 3
2375 413107 11
9185 129111 6
3675 449502 1
2390 326328 8
5749 92161 6
9840 190805 5
3274 285676 10
1757 399011 9
5651 202540 6
4028 305462 1
1411 83158 8
9125 295852 4
732 235410 4
6093 444508 8
1168 313726 10
8505 56634 9
4503 101484 1
2676 354905 9
7990 433444 6
5570 258975 11
992 271600 5
5369 141440 6
9347 123307 7
5689 493058 10
4520 34484 11
1472 197319 4
854 427256 11
4061 181586 1
713 233817 4
524 85894 4
7186 19399 5
482 48826 4
2089 233954 2
9396 233182 7
6419 243561 11
8675 279633 6
402 271918 7
6876 299887 6
8729 144992 2
9032 133548 8
5324 135806 5
8885 267063 9
3942 245695 3
5836 328277 8
358 455656 2
2295 13360 8
9183 24591 5
6674 462576 1
1414 394598 5
8571 180169 2
299 144640 8
6739 188258 6
1457 172605 11
7612 35036 7
5124 442567 11
9114 194006 10
9496 206578 11
5619 287951 11
2442 165601 11
737 277277 11
6858 406190 5
9051 285172 7
3418 110414 1
1198 457646 1
3856 430582 7
3283 426832 9
8501 147419 1
3211 421771 11
1338 249050 8
4396 103169 11
6013 491240 4
7314 192391 2
3235 484694 11
7652 67690 9
8207 199092 1
1959 178911 5
8160 364551 2
8672 329812 4
4898 78453 10
7850 66 5
3023 437996 8
5851 171641 6
6821 59707 9
1200 259774 9
1060 165083 6
2295 264190 5
5664 480977 7
6815 481665 3
472 330501 4
1545 306811 8
7251 422530 4
1527 294108 1
3009 74212 7
450 219921 5
3388 400530 10
4321 397014 11
4293 470384 8
4676 125452 9
570 423975 2
4217 330410 10
8405 137159 6
1797 188288 1
9736 159969 6
1749 356735 6
945 332213 6
2241 171017 5
5593 68021 10
2754 322215 11
2278 89235 7
8957 5084 6
1544 68003 1
1868 254425 1
9507 299830 8
6066 356187 9
4419 338623 6
6279 53838 6
4869 9092 4
